date,rain,tg,sm,sp,fl
11/17/1979,10.30554062,5.38524356,394.3298738,15.209682,27.43
11/18/1979,5.34563002,5.461132684,399.5451637,10.66708298,22.96
11/19/1979,15.71415457,7.337502265,409.8365271,7.637956517,20.45
11/20/1979,11.09827061,6.28957815,415.962117,7.573855485,22.46
11/21/1979,1.886372261,3.00907684,416.7936638,8.529702754,20.93
11/22/1979,0.001963107,1.603241176,416.6372097,8.535597789,15.92
11/23/1979,0,0.225475466,416.4706891,8.537546196,12.44
11/24/1979,0,0.503487889,416.3344265,8.539734712,10.75
11/25/1979,0,-0.210895552,416.0449575,8.54259114,9.31
11/26/1979,0,-1.119383496,415.8933255,8.546658024,8.06
11/27/1979,0.401484387,-2.697444796,415.9281963,10.42561178,7.23
11/28/1979,0.024371599,-0.522140703,415.8122553,10.47997786,6.91
11/29/1979,0.767385404,-0.306870472,416.4456511,10.1190812,6.58
11/30/1979,0.00239131,1.400506252,416.5002083,9.480738028,6.64
12/1/1979,2.881453506,2.232820994,418.271299,7.969265884,6.49
12/2/1979,0.889862111,4.237517115,418.9541886,6.722310292,6.49
12/3/1979,0,4.772880468,418.6638498,6.723401974,6.49
12/4/1979,0,1.088505682,418.3915893,6.724629145,6.36
12/5/1979,0,0.890206094,418.1483487,6.730300282,6.01
12/6/1979,1.133224841,-0.055788973,418.5429729,6.439607615,5.8
12/7/1979,0.368096714,3.327105533,418.9140795,5.380330738,5.62
12/8/1979,2.765192328,5.279501405,420.4998126,4.392334037,5.58
12/9/1979,2.344062198,5.490866415,421.8063157,3.612244376,5.58
12/10/1979,5.607058365,4.774107943,424.745706,3.053134983,5.83
12/11/1979,19.37693365,4.194449753,434.6814763,2.426226812,11.14
12/12/1979,2.37E-05,4.557621897,434.3480764,4.264513161,10.69
12/13/1979,0,-1.659152766,434.2208063,4.300065489,7.98
12/14/1979,0,-6.795493599,434.1379805,11.65355101,6.91
12/15/1979,0,-6.114893192,433.9129808,20.72356565,6.8
12/16/1979,6.44E-05,-2.787740167,433.7396736,25.86161468,6.7
12/17/1979,0.028937889,-1.427731138,433.5761996,27.59236601,6.61
12/18/1979,0.558200527,-1.22954656,433.8156451,33.10363033,6.51
12/19/1979,0,-0.77959449,433.5873685,33.12856401,6.29
12/20/1979,0,-4.233183135,433.3646985,45.92413848,6.03
12/21/1979,7.67E-05,-2.616903781,433.1712342,52.53907943,5.92
12/22/1979,0.451159937,-1.331803736,435.288456,48.56973801,6.94
12/23/1979,0.707596084,1.985560366,438.133664,43.52279218,9.87
12/24/1979,4.83671344,2.409793579,441.9381263,41.74617411,9.49
12/25/1979,1.997549788,1.635104924,443.6778221,41.14087712,8.57
12/26/1979,0.181601002,1.034014466,444.2477564,39.96017504,8.24
12/27/1979,0.041455094,0.784420275,444.193513,39.97212751,7.88
12/28/1979,0,-0.22018641,444.0954339,42.06729887,7.35
12/29/1979,0,-2.658760349,443.9380398,52.86731658,7.09
12/30/1979,0,-1.960285483,443.7875422,56.53124588,6.95
12/31/1979,0,-3.962437434,443.6107667,56.87426273,6.94
1/1/1980,0,-5.093100928,443.4061244,57.22982361,6.75
1/2/1980,0,-5.040315054,443.2262989,57.72547888,6.24
1/3/1980,0,-4.685670674,443.075944,57.91346443,5.72
1/4/1980,0,-8.461168688,442.9439717,57.91466993,5.17
1/5/1980,0,-11.28096348,442.8402804,58.14307578,4.52
1/6/1980,0,-12.15868177,442.703991,59.26190464,5.84
1/7/1980,0,-7.380373702,442.5578006,60.00442784,6.23
1/8/1980,0,-6.389203365,442.3261555,61.32905698,6.24
1/9/1980,0,-4.31439792,442.1466197,62.27779802,6.13
1/10/1980,0,-2.418972914,441.96402,64.06048254,6
1/11/1980,0,-3.756483905,441.7882983,64.06054293,5.46
1/12/1980,0,-7.927852435,441.6341963,64.06062949,4.34
1/13/1980,0,-11.14692074,441.5318013,64.06073427,3.77
1/14/1980,0,-13.57851919,441.4583881,64.06084811,3.42
1/15/1980,0,-14.85343162,441.2571192,64.13425642,3.62
1/16/1980,0,-10.13987568,440.9795644,64.53351197,4.93
1/17/1980,0,-2.893771007,440.7808502,64.53356022,4.65
1/18/1980,0,-5.931398135,440.5062593,64.53360989,4.96
1/19/1980,0,-6.086893881,440.2411297,64.5336625,4.82
1/20/1980,0,-6.495686688,439.9318613,64.53370088,4.41
1/21/1980,0,-4.906337313,439.6127381,64.53371033,4.66
1/22/1980,0.012317101,-2.199155322,439.4848269,65.92313599,4.66
1/23/1980,0.062096176,-1.37192377,439.354707,75.33052631,4.66
1/24/1980,0,-1.5256879,439.1474046,76.77319825,4.66
1/25/1980,0.004407841,-1.572938782,438.8842229,77.11986658,4.66
1/26/1980,0,-1.039958915,438.601549,78.50854007,4.66
1/27/1980,0,-3.62041149,438.4637828,79.82807453,4.57
1/28/1980,0,-8.031446907,438.2220986,80.08241835,4.02
1/29/1980,0,-9.274919097,438.0212354,80.08250201,3.65
1/30/1980,0,-10.87186179,437.7796057,81.28838344,4.25
1/31/1980,2.077349527,-7.197937453,438.7290264,85.19361516,4.61
2/1/1980,2.760617529,0.217711136,440.4799332,85.82401888,6.13
2/2/1980,0,0.863847392,440.2195889,85.9514195,7.34
2/3/1980,0,-4.399062402,439.9292027,92.7646066,6.31
2/4/1980,0.266535379,-2.218114069,439.8360815,113.6564145,5.86
2/5/1980,0,-1.209708654,439.5580656,118.0635575,5.86
2/6/1980,2.066977567,-2.126699923,441.0457434,117.8506671,6.94
2/7/1980,0.77325573,0.896082045,441.8535515,116.7432324,9.88
2/8/1980,0.036486027,0.864173325,442.1420661,115.640058,9.8
2/9/1980,0,0.521365215,441.8146592,115.6243706,10.32
2/10/1980,0.000618601,-0.948301763,441.5757611,115.6871025,10.84
2/11/1980,0.028014672,-1.239121895,441.209127,116.0936364,10.56
2/12/1980,0,-0.896299172,440.7802878,117.4766858,10.83
2/13/1980,0,-2.11720878,440.4004401,117.8625583,10.56
2/14/1980,0,-3.072599889,439.9968398,117.8792891,9.44
2/15/1980,0,-3.161531824,439.5925046,117.901699,8.17
2/16/1980,0,-4.652923365,439.216179,119.3675321,7.69
2/17/1980,0,-5.040982961,438.8705614,121.6205969,7.59
2/18/1980,0,-2.682553006,438.4144589,121.6295832,7.14
2/19/1980,0,-3.318466891,437.8478617,121.6333277,6.52
2/20/1980,0,-3.864691785,437.2599276,121.6345187,5.84
